Iteration;ProjectName;StdDev;ClassCount;ClustersCount;Fitness;ExecutionTime;Memory;ExecutionAborted
9;_b01-log4j-api-2.21.1 189C.odem;0;181;93;21.3581;34;120;false
9;_b01-jgit-lfs-6.8.0 41C.odem;0;41;20;4.6996;6;118;false
9;_b01-elasticsearch-geo-9.1.0 58C.odem;0;58;29;4.9765;9;118;false
9;_b01-log4j-iostreams-2.21.1 29C.odem;0;26;15;5.4026;5;117;false
9;_b01-aep-core-0.10.0 162C.odem;0;162;90;28.0249;24;116;false
9;_b01-jgit-ssh-6.8.0 100C.odem;0;98;52;15.4371;10;115;false
9;_b01-log4j-jpa-2.21.1 26C.odem;0;23;12;4.4921;5;114;false
9;_b01-jmetal-auto-6.2.2 69C.odem;0;69;35;4.5775;7;113;false
9;_b01-gson-2.10.1 212C.odem;0;212;97;18.5608;53;111;false
9;_b01-junit-platform-engine-1.10.1 136C.odem;0;135;72;18.7022;17;109;false
9;_b01-lucene-analysis-nori-11.0.0 48C.odem;0;47;24;6.4777;8;108;false
9;_b01-scribejava-apis-8.3.4 175C.odem;0;175;104;68.5811;28;107;false
9;_b01-lucene-luke-11.0.0 278C.odem;0;277;145;31.2440;102;104;false
9;_b01-jmetal-component-6.2.2 132C.odem;0;132;36;11.3718;18;101;false
9;_b01-elasticsearch-native-9.1.0 66C.odem;0;66;35;6.6393;10;243;false
9;_b01-elasticsearch-core-9.1.0 63C.odem;0;63;33;13.2534;6;243;false
9;_b01-javacc-7.0.14 190C.odem;0;190;63;12.9909;41;241;false
9;_b01-jgit-pgm-6.8.0 121C.odem;0;121;57;11.8495;13;239;false
9;_b01-lucene-codecs-11.0.0 208C.odem;0;207;114;29.1900;45;237;false
9;_b01-jmetal-lab-6.2.2 54C.odem;0;54;27;6.1514;8;235;false
9;_b01-dubbo-cluster-3.2.8 195C.odem;0;195;103;28.7537;38;234;false
9;_b01-junit-jupiter-engine-5.10.1 130C.odem;0;129;68;17.0225;16;232;false
9;_b01-log4j-layout-template-json-2.21.1 154C.odem;0;150;76;15.2923;23;230;false
9;_b01-javaGeom-0.11.3 159C.odem;0;159;77;11.6174;34;228;false
10;_b01-joda-time-2.14.0 248C.odem;0;248;121;18.3792;81;224;false
10;_b01-lucene-highlighter-11.0.0 167C.odem;0;166;82;22.7021;26;221;false
10;_b01-joda-money-2.0.3 29C.odem;0;28;16;2.7777;8;220;false
10;_b01-moquette-broker-0.19 204C.odem;0;204;105;24.3960;43;219;false
10;_b01-lucene-analysis-kuromoji-11.0.0 69C.odem;0;68;28;13.3402;7;217;false
10;_b01-junit-platform-launcher-1.10.1 116C.odem;0;115;59;15.9509;13;216;false
10;_b01-jgit-http-6.8.0 61C.odem;0;61;38;10.6159;8;215;false
10;_b01-log4j-api-2.21.1 189C.odem;0;181;98;21.3581;35;214;false
